id,type,src,dst,app,latency,message,ctime,size,buffer
81,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5746.0001000110005,200,0
98,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5760,1000,0
81,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5806.000100012001,1000,0
80,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5807.000100022001,1000,0
99,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5810,1000,1
82,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5820.0001,1000,0
82,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5831.00010001,200,0
82,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5846.0001000110005,200,0
100,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5860,1000,0
82,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,5906.000100012001,1000,0
81,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,5907.000100022001,1000,0
101,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5910,1000,1
83,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,5920.0001,1000,0
83,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,5931.00010001,200,0
83,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,5946.0001000110005,200,0
102,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,5960,1000,0
83,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6006.000100012001,1000,0
82,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6007.000100022001,1000,0
103,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6010,1000,1
84,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6020.0001,1000,0
84,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6031.00010001,200,0
84,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6046.0001000110005,200,0
104,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6060,1000,0
84,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6106.000100012001,1000,0
83,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6107.000100022001,1000,0
105,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6110,1000,1
85,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6120.0001,1000,0
85,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6131.00010001,200,0
85,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6146.0001000110005,200,0
106,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6160,1000,0
85,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6206.000100012001,1000,0
84,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6207.000100022001,1000,0
107,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6210,1000,1
86,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6220.0001,1000,0
86,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6231.00010001,200,0
86,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6246.0001000110005,200,0
108,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6260,1000,0
86,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6306.000100012001,1000,0
85,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6307.000100022001,1000,0
109,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6310,1000,1
87,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6320.0001,1000,0
87,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6331.00010001,200,0
87,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6346.0001000110005,200,0
110,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6360,1000,0
87,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6406.000100012001,1000,0
86,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6407.000100022001,1000,0
111,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6410,1000,1
88,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6420.0001,1000,0
88,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6431.00010001,200,0
88,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6446.0001000110005,200,0
112,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6460,1000,0
88,LINK,5,0,VehicleProcessing,1.00000001,FogToEdge,6506.000100012001,1000,0
87,LINK,0,9,VehicleProcessing,10.0001,EdgeToSensor,6507.000100022001,1000,0
113,LINK,9,0,VehicleProcessing,10.0001,SensorToEdge,6510,1000,1
89,LINK,0,5,VehicleProcessing,1.00000001,EdgeToFog,6520.0001,1000,0
89,LINK,5,8,VehicleProcessing,10.000000001,FogToCloud,6531.00010001,200,0
89,LINK,8,5,VehicleProcessing,10.000000001,CloudToFog,6546.0001000110005,200,0
